CODE POSTAL,NOM DE LA COMMUNE,Geometry X Y,latitude,longitude
42155,VILLEMONTAIS,"45.9825018383,3.93640831898",45.9825018383,3.93640831898
43200,BEAUX,"45.1942542124,4.08248145168",45.1942542124,4.08248145168
43300,DESGES,"45.0221277538,3.44215460004",45.0221277538,3.44215460004
43230,DOMEYRAT,"45.2455973792,3.5055844005",45.2455973792,3.5055844005
43220,RIOTORD,"45.2349277703,4.42239825506",45.2349277703,4.42239825506
43580,ST DIDIER D ALLIER,"44.9797771177,3.69651684323",44.9797771177,3.69651684323
43450,ST ETIENNE SUR BLESLE,"45.3041441888,3.12573075931",45.3041441888,3.12573075931
44160,BESNE,"47.3800629578,-2.07409913989",47.3800629578,-2.07409913989
44370,MONTRELAIS,"47.4026410683,-0.971865462189",47.4026410683,-0.971865462189
44590,MOUAIS,"47.7049782547,-1.66473754092",47.7049782547,-1.66473754092
44290,PIERRIC,"47.6890990862,-1.77486264797",47.6890990862,-1.77486264797
44650,CORCOUE SUR LOGNE,"46.9532455273,-1.60060237938",46.9532455273,-1.60060237938
45410,BUCY LE ROI,"48.0594994911,1.92098402984",48.0594994911,1.92098402984
45120,CHALETTE SUR LOING,"48.0188121595,2.73578852299",48.0188121595,2.73578852299
45700,CORTRAT,"47.9068076955,2.76916633215",47.9068076955,2.76916633215
45300,COURCY AUX LOGES,"48.0546832244,2.21728739508",48.0546832244,2.21728739508
45220,DOUCHY,"47.941934324,3.04405678632",47.941934324,3.04405678632
45130,EPIEDS EN BEAUCE,"47.9627066917,1.60390030402",47.9627066917,1.60390030402
45150,JARGEAU,"47.8539370317,2.12063354743",47.8539370317,2.12063354743
45270,LADON,"48.0095614328,2.52562698613",48.0095614328,2.52562698613
45190,MESSAS,"47.8085997033,1.63534579701",47.8085997033,1.63534579701
45170,OISON,"48.1345415806,1.97598018826",48.1345415806,1.97598018826
45590,ST CYR EN VAL,"47.8140953159,1.95982379984",47.8140953159,1.95982379984
46100,BEDUER,"44.5711043331,1.92666440325",44.5711043331,1.92666440325
46130,BIARS SUR CERE,"44.9281999917,1.85705877079",44.9281999917,1.85705877079
46230,CREMPS,"44.3877412529,1.58297001651",44.3877412529,1.58297001651
46320,ESPEDAILLAC,"44.6313262107,1.77517916048",44.6313262107,1.77517916048
46190,LACAM D OURCET,"44.8421863902,2.01143660034",44.8421863902,2.01143660034
46200,LACHAPELLE AUZAC,"44.9380023584,1.48031197912",44.9380023584,1.48031197912
46260,LIMOGNE EN QUERCY,"44.3966427227,1.77829583648",44.3966427227,1.77829583648
46500,PADIRAC,"44.8503221914,1.75624205079",44.8503221914,1.75624205079
46360,SABADEL LAUZES,"44.5597362449,1.6075760767",44.5597362449,1.6075760767
46300,ST CLAIR,"44.6939193723,1.39885688127",44.6939193723,1.39885688127
46210,ST HILAIRE,"44.7884633484,2.15008064769",44.7884633484,2.15008064769
46800,ST LAURENT LOLMIE,"44.2872527124,1.2312861209",44.2872527124,1.2312861209
46400,ST MEDARD DE PRESQUE,"44.8523355559,1.84227954038",44.8523355559,1.84227954038
47200,BEAUPUY,"44.5332209299,0.144907707512",44.5332209299,0.144907707512
47340,CASTELLA,"44.3138960011,0.684442218715",44.3138960011,0.684442218715
47260,CASTELMORON SUR LOT,"44.4077972964,0.481340704559",44.4077972964,0.481340704559
47110,DOLMAYRAC,"44.3565526064,0.591606081403",44.3565526064,0.591606081403
47220,FALS,"44.1052716002,0.689254546889",44.1052716002,0.689254546889
47240,LAFOX,"44.1653179706,0.699221003684",44.1653179706,0.699221003684
